n,r,m
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:有症状],"(:症状 {name: ""嗜睡（somnolence）""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:有症状],"(:症状 {name: ""昏睡（stupor）""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:有症状],"(:症状 {name: ""昏迷（coma），""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:有症状],"(:症状 {name: ""谵妄状态（delirium）""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:有症状],"(:症状 {name: ""植物状态/无反应觉醒综合征（vegetative state/ unresponsive wakefulness syndrome，VS/UWS）""})"
"(:临床常见问题 {name: ""意识障碍（disorder of consciousness, DOC）""})",[:有症状],"(:症状 {name: ""微小意识状态（minimally conscious state，MCS）""})"
"(:临床常见问题 {name: ""谵妄""})",[:有症状],"(:症状 {name: ""躁动不安""})"
"(:临床常见问题 {name: ""谵妄""})",[:有症状],"(:症状 {name: ""幻觉""})"
"(:临床常见问题 {name: ""谵妄""})",[:有症状],"(:症状 {name: ""精神行为异常""})"
"(:临床常见问题 {name: ""谵妄""})",[:有症状],"(:症状 {name: ""精神状态差""})"
"(:临床常见问题 {name: ""谵妄""})",[:有症状],"(:症状 {name: ""注意力下降""})"
"(:临床常见问题 {name: ""恐惧""})",[:有症状],"(:症状 {name: ""易激惹""})"
"(:临床常见问题 {name: ""恐惧""})",[:有症状],"(:症状 {name: ""攻击性增强""})"
"(:临床常见问题 {name: ""恐惧""})",[:有症状],"(:症状 {name: ""自我控制力下 降""})"
"(:临床常见问题 {name: ""恐惧""})",[:有症状],"(:症状 {name: ""对死亡恐惧""})"
"(:临床常见问题 {name: ""恐惧""})",[:有症状],"(:症状 {name: ""具有反社会人格""})"
"(:临床常见问题 {name: ""尿崩症""})",[:有症状],"(:症状 {name: ""有颅脑损伤史""})"
"(:临床常见问题 {name: ""尿崩症""})",[:有症状],"(:症状 {name: ""24h尿量>4000ml""})"
"(:临床常见问题 {name: ""尿崩症""})",[:有症状],"(:症状 {name: ""尿量> 200ml/h""})"
"(:临床常见问题 {name: ""尿崩症""})",[:有症状],"(:症状 {name: ""排除肾脏原因导致的多尿""})"
"(:临床常见问题 {name: ""脑积水""})",[:有症状],"(:症状 {name: ""头晕头痛""})"
"(:临床常见问题 {name: ""脑积水""})",[:有症状],"(:症状 {name: ""尿失禁""})"
"(:临床常见问题 {name: ""脑积水""})",[:有症状],"(:症状 {name: ""木僵""})"
"(:临床常见问题 {name: ""脑积水""})",[:有症状],"(:症状 {name: ""“三联征”""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:有症状],"(:症状 {name: ""有头颅外伤病史""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:有症状],"(:症状 {name: ""头痛、眩晕、呕吐等症状""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:有症状],"(:症状 {name: ""症状与脑损伤程度不符""})"
"(:临床常见问题 {name: ""低颅压综合征""})",[:有症状],"(:症状 {name: ""症状随头位升高而症状加剧""})"
"(:临床常见问题 {name: ""颅内高压""})",[:有症状],"(:症状 {name: ""头痛、眩晕、呕吐等症状""})"
"(:临床常见问题 {name: ""颅内高压""})",[:有症状],"(:症状 {name: ""嗜睡和意识改变""})"
"(:临床常见问题 {name: ""颅内高压""})",[:有症状],"(:症状 {name: ""头晕和平衡问题""})"
"(:临床常见问题 {name: ""颅内高压""})",[:有症状],"(:症状 {name: ""视力和眼部问题""})"
"(:临床常见问题 {name: ""颅内高压""})",[:有症状],"(:症状 {name: ""脑水肿加重""})"
"(:临床常见问题 {name: ""颅内高压""})",[:有症状],"(:症状 {name: ""胃肠功能紊乱""})"
"(:临床常见问题 {name: ""颅内高压""})",[:有症状],"(:症状 {name: ""消化道出血""})"
"(:临床常见问题 {name: ""颅内高压""})",[:有症状],"(:症状 {name: ""神经源性肺水肿""})"
"(:临床常见问题 {name: ""颅内高压""})",[:有症状],"(:症状 {name: ""库欣(Cushing)反应""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:有症状],"(:症状 {name: ""躁动""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:有症状],"(:症状 {name: ""多汗""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:有症状],"(:症状 {name: ""高热""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:有症状],"(:症状 {name: ""高血压""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:有症状],"(:症状 {name: ""心动过速""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:有症状],"(:症状 {name: ""呼吸急促""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:有症状],"(:症状 {name: ""肌张力障碍""})"
"(:临床常见问题 {name: ""自主神经功能障碍（交感过度兴奋）""})",[:有症状],"(:症状 {name: ""姿势异常""})"
"(:临床常见问题 {name: ""癫痫""})",[:有症状],"(:症状 {name: ""失神发作""})"
"(:临床常见问题 {name: ""癫痫""})",[:有症状],"(:症状 {name: ""肌阵挛发作""})"
"(:临床常见问题 {name: ""癫痫""})",[:有症状],"(:症状 {name: ""强直性发作""})"
"(:临床常见问题 {name: ""癫痫""})",[:有症状],"(:症状 {name: ""阵挛性发作""})"
"(:临床常见问题 {name: ""癫痫""})",[:有症状],"(:症状 {name: ""强直-阵挛性""})"
"(:临床常见问题 {name: ""癫痫""})",[:有症状],"(:症状 {name: ""失张力性发作""})"
"(:临床常见问题 {name: ""癫痫""})",[:有症状],"(:症状 {name: ""单纯部分性发作""})"
"(:临床常见问题 {name: ""癫痫""})",[:有症状],"(:症状 {name: ""复杂部分性发作""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""危险因素：吞咽障碍""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""危险因素：意识障碍""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""危险因素：高龄（年龄>70岁）""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""危险因素：长期卧床""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""危险因素：预防应激性溃疡药物使用""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""危险因素：鼻胃管喂养""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""危险因素：气管插管""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""危险因素：机械通气大剂量镇静药使用""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""多肺叶浸润""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""意识障碍""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""定向障碍""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""脓毒症休克，需要血管活性药物治疗""})"
"(:临床常见问题 {name: ""重症肺炎""})",[:有症状],"(:症状 {name: ""需要气管插管行机械通气治疗""})"
"(:临床常见问题 {name: ""深部静脉血栓""})",[:有症状],"(:症状 {name: ""不明原因的发热发热""})"
"(:临床常见问题 {name: ""深部静脉血栓""})",[:有症状],"(:症状 {name: ""患处及周围部位可有发绀、疼痛、肿胀和静脉血管增多""})"
